model,variable,h,n,RMSE,CRPS,LogScore,country
BVAR_noshock,gdp_yoy,8,53,3.348,1.621,-3.856,CA
BVAR_noshock,inflation_yoy,1,53,0.682,0.361,-1.073,CA
BVAR_noshock,inflation_yoy,4,53,1.619,0.852,-2.097,CA
BVAR_noshock,inflation_yoy,8,53,1.889,0.969,-2.405,CA
BVAR_noshock,reer_yoy,1,53,2.88,1.686,-2.59,CA
BVAR_noshock,reer_yoy,4,53,4.676,2.697,-3.047,CA
BVAR_noshock,reer_yoy,8,53,5.419,3.115,-3.168,CA
BVAR_noshock,y10,1,53,0.319,0.176,-0.349,CA
BVAR_noshock,y10,4,53,0.794,0.467,-1.445,CA
BVAR_noshock,y10,8,53,1.218,0.728,-1.989,CA
BVAR_noshock,policy,1,53,0.315,0.155,-0.297,CA
BVAR_noshock,policy,4,53,1.071,0.512,-1.81,CA
BVAR_noshock,policy,8,53,1.706,0.895,-2.457,CA
BVAR,gdp_yoy,1,53,2.706,1.026,-4.082,CA
BVAR,gdp_yoy,4,53,3.678,1.527,-3.729,CA
BVAR,gdp_yoy,8,53,3.25,1.578,-3.666,CA
BVAR,inflation_yoy,1,53,0.663,0.361,-1.067,CA
BVAR,inflation_yoy,4,53,1.59,0.842,-2.127,CA
BVAR,inflation_yoy,8,53,1.869,0.937,-2.329,CA
BVAR,reer_yoy,1,53,2.732,1.585,-2.503,CA
BVAR,reer_yoy,4,53,4.338,2.482,-2.934,CA
BVAR,reer_yoy,8,53,4.981,2.84,-3.052,CA
BVAR,y10,1,53,0.317,0.177,-0.458,CA
BVAR,y10,4,53,0.774,0.466,-1.483,CA
BVAR,y10,8,53,1.18,0.703,-2.022,CA
BVAR,policy,1,53,0.315,0.151,-0.355,CA
BVAR,policy,4,53,1.035,0.494,-1.828,CA
BVAR,policy,8,53,1.665,0.872,-2.47,CA
RW,gdp_yoy,1,53,2.788,1.201,-2.774,DE
RW,gdp_yoy,4,53,4.339,1.984,-2.984,DE
RW,gdp_yoy,8,53,4.125,2.188,-2.855,DE
RW,inflation_yoy,1,53,0.677,0.354,-1.126,DE
RW,inflation_yoy,4,53,1.994,1.041,-2.832,DE
RW,inflation_yoy,8,53,2.95,1.571,-3.569,DE
RW,reer_yoy,1,53,1.84,1.04,-2.038,DE
RW,reer_yoy,4,53,4.573,2.649,-2.957,DE
RW,reer_yoy,8,53,3.823,2.279,-2.884,DE
RW,y10,1,53,0.303,0.165,-0.249,DE
RW,y10,4,53,0.799,0.436,-1.437,DE
RW,y10,8,53,1.239,0.72,-2.05,DE
RW,policy,1,53,0.289,0.155,-0.303,DE
RW,policy,4,53,1.013,0.486,-1.713,DE
RW,policy,8,53,1.554,0.779,-2.29,DE
AR1,gdp_yoy,1,53,2.581,1.108,-2.731,DE
AR1,gdp_yoy,4,53,3.573,1.547,-2.826,DE
AR1,gdp_yoy,8,53,2.931,1.438,-2.614,DE
AR1,inflation_yoy,1,53,0.725,0.378,-1.265,DE
AR1,inflation_yoy,4,53,2.282,1.148,-4.104,DE
AR1,inflation_yoy,8,53,3.273,1.664,-6.247,DE
AR1,reer_yoy,1,53,1.779,1.005,-2.001,DE
AR1,reer_yoy,4,53,3.336,1.932,-2.651,DE
AR1,reer_yoy,8,53,2.615,1.489,-2.401,DE
AR1,y10,1,53,0.312,0.17,-0.297,DE
AR1,y10,4,53,0.847,0.47,-1.683,DE
AR1,y10,8,53,1.355,0.806,-2.628,DE
AR1,policy,1,53,0.295,0.156,-0.316,DE
AR1,policy,4,53,1.036,0.495,-1.805,DE
AR1,policy,8,53,1.597,0.799,-2.475,DE
VAR_OLS,gdp_yoy,1,53,3.536,1.78,-4.94,DE
VAR_OLS,gdp_yoy,4,53,5.841,3.086,-4.661,DE
VAR_OLS,gdp_yoy,8,53,4.446,2.409,-3.095,DE
VAR_OLS,inflation_yoy,1,53,0.936,0.548,-2.804,DE
VAR_OLS,inflation_yoy,4,53,3.258,1.795,-8.45,DE
VAR_OLS,inflation_yoy,8,53,3.604,1.803,-5.818,DE
VAR_OLS,reer_yoy,1,53,2.2,1.275,-2.342,DE
VAR_OLS,reer_yoy,4,53,6.1,3.707,-3.97,DE
VAR_OLS,reer_yoy,8,53,5.118,2.882,-3.101,DE
VAR_OLS,y10,1,53,0.516,0.298,-2.304,DE
VAR_OLS,y10,4,53,1.394,0.826,-4.098,DE
VAR_OLS,y10,8,53,2.242,1.244,-5.624,DE
VAR_OLS,policy,1,53,0.412,0.232,-0.764,DE
VAR_OLS,policy,4,53,2.185,1.323,-8.06,DE
VAR_OLS,policy,8,53,3.431,1.977,-10.585,DE
BVAR_noshock,gdp_yoy,1,53,2.587,1.111,-2.735,DE
BVAR_noshock,gdp_yoy,4,53,3.23,1.479,-2.801,DE
BVAR_noshock,gdp_yoy,8,53,2.915,1.473,-2.843,DE
BVAR_noshock,inflation_yoy,1,53,0.705,0.37,-1.157,DE
BVAR_noshock,inflation_yoy,4,53,2.007,1.039,-2.984,DE
BVAR_noshock,inflation_yoy,8,53,2.549,1.357,-4.072,DE
BVAR_noshock,reer_yoy,1,53,1.672,0.958,-1.985,DE
BVAR_noshock,reer_yoy,4,53,3.506,2.043,-2.703,DE
BVAR_noshock,reer_yoy,8,53,2.674,1.546,-2.453,DE
BVAR_noshock,y10,1,53,0.3,0.164,-0.239,DE
BVAR_noshock,y10,4,53,0.816,0.437,-1.435,DE
BVAR_noshock,y10,8,53,1.315,0.734,-2.171,DE
BVAR_noshock,policy,1,53,0.232,0.129,-0.115,DE
BVAR_noshock,policy,4,53,0.949,0.458,-1.466,DE
BVAR_noshock,policy,8,53,1.609,0.837,-2.124,DE
BVAR,gdp_yoy,1,53,2.605,1.112,-2.918,DE
BVAR,gdp_yoy,4,53,3.295,1.491,-2.836,DE
BVAR,gdp_yoy,8,53,2.864,1.444,-2.684,DE
BVAR,inflation_yoy,1,53,0.695,0.37,-1.268,DE
BVAR,inflation_yoy,4,53,1.976,1.029,-3.357,DE
BVAR,inflation_yoy,8,53,2.538,1.33,-4.377,DE
BVAR,reer_yoy,1,53,1.739,0.981,-1.989,DE
BVAR,reer_yoy,4,53,3.436,2.011,-2.687,DE
BVAR,reer_yoy,8,53,2.666,1.548,-2.43,DE
BVAR,y10,1,53,0.295,0.162,-0.308,DE
BVAR,y10,4,53,0.79,0.433,-1.387,DE
BVAR,y10,8,53,1.263,0.699,-2.119,DE
BVAR,policy,1,53,0.23,0.123,-0.07,DE
BVAR,policy,4,53,0.927,0.443,-1.416,DE
BVAR,policy,8,53,1.58,0.81,-2.082,DE
RW,gdp_yoy,1,31,1.132,0.654,-1.654,JP
RW,gdp_yoy,4,31,2.624,1.453,-2.46,JP
RW,gdp_yoy,8,31,3.091,1.787,-2.724,JP
RW,inflation_yoy,1,31,0.662,0.357,-1.063,JP
RW,inflation_yoy,4,31,1.505,0.844,-1.949,JP
RW,inflation_yoy,8,31,1.844,1.052,-2.083,JP
RW,reer_yoy,1,31,5.383,3.09,-3.112,JP
RW,reer_yoy,4,31,14.462,8.43,-4.156,JP
RW,reer_yoy,8,31,12.313,7.215,-3.999,JP
RW,y10,1,31,0.09,0.056,0.741,JP
RW,y10,4,31,0.216,0.127,-0.014,JP
RW,y10,8,31,0.316,0.185,-0.366,JP
RW,policy,1,31,0.021,0.016,1.928,JP
RW,policy,4,31,0.058,0.037,1.165,JP
RW,policy,8,31,0.097,0.059,0.763,JP
AR1,gdp_yoy,1,31,1.05,0.61,-1.588,JP
AR1,gdp_yoy,4,31,2.382,1.193,-2.357,JP
AR1,gdp_yoy,8,31,2.88,1.424,-2.613,JP
AR1,inflation_yoy,1,31,0.663,0.349,-1.098,JP
AR1,inflation_yoy,4,31,1.382,0.783,-2.269,JP
AR1,inflation_yoy,8,31,1.479,0.831,-2.375,JP
AR1,reer_yoy,1,31,5.376,3.09,-3.106,JP
AR1,reer_yoy,4,31,11.798,6.873,-4.087,JP
AR1,reer_yoy,8,31,8.558,4.783,-3.587,JP
AR1,y10,1,31,0.109,0.064,0.686,JP
AR1,y10,4,31,0.303,0.177,-0.243,JP
AR1,y10,8,31,0.484,0.297,-0.92,JP
AR1,policy,1,31,0.024,0.017,1.908,JP
AR1,policy,4,31,0.077,0.045,1.085,JP
AR1,policy,8,31,0.135,0.08,0.587,JP
VAR_OLS,gdp_yoy,1,31,1.7,0.948,-2.509,JP
VAR_OLS,gdp_yoy,4,31,4.557,2.815,-4.52,JP
VAR_OLS,gdp_yoy,8,31,4.291,2.555,-3.143,JP
VAR_OLS,inflation_yoy,1,31,0.722,0.441,-1.643,JP
VAR_OLS,inflation_yoy,4,31,1.929,1.148,-3.501,JP
VAR_OLS,inflation_yoy,8,31,2.707,1.657,-3.726,JP
VAR_OLS,reer_yoy,1,31,8.506,5.04,-4.118,JP
VAR_OLS,reer_yoy,4,31,22.311,13.082,-6.054,JP
VAR_OLS,reer_yoy,8,31,16.632,8.878,-4.323,JP
VAR_OLS,y10,1,31,0.226,0.134,-0.479,JP
VAR_OLS,y10,4,31,0.571,0.344,-1.897,JP
VAR_OLS,y10,8,31,0.727,0.436,-1.648,JP
VAR_OLS,policy,1,31,0.062,0.038,1.018,JP
VAR_OLS,policy,4,31,0.242,0.158,-2.834,JP
VAR_OLS,policy,8,31,0.408,0.265,-4.7,JP
BVAR_noshock,gdp_yoy,1,31,1.037,0.601,-1.551,JP
BVAR_noshock,gdp_yoy,4,31,2.65,1.355,-2.457,JP
BVAR_noshock,gdp_yoy,8,31,3.14,1.62,-2.712,JP
BVAR_noshock,inflation_yoy,1,31,0.631,0.335,-1.013,JP
BVAR_noshock,inflation_yoy,4,31,1.211,0.687,-1.835,JP
BVAR_noshock,inflation_yoy,8,31,1.364,0.755,-1.96,JP
BVAR_noshock,reer_yoy,1,31,5.479,3.191,-3.148,JP
BVAR_noshock,reer_yoy,4,31,12.178,7.143,-4.13,JP
BVAR_noshock,reer_yoy,8,31,9.072,5.06,-3.617,JP
BVAR_noshock,y10,1,31,0.106,0.062,0.72,JP
BVAR_noshock,y10,4,31,0.297,0.17,-0.201,JP
BVAR_noshock,y10,8,31,0.492,0.288,-0.68,JP
BVAR_noshock,policy,1,31,0.025,0.016,1.988,JP
BVAR_noshock,policy,4,31,0.082,0.048,1.027,JP
BVAR_noshock,policy,8,31,0.141,0.082,0.541,JP
BVAR,gdp_yoy,1,31,1.047,0.605,-1.558,JP
BVAR,gdp_yoy,4,31,2.705,1.388,-2.548,JP
BVAR,gdp_yoy,8,31,3.178,1.664,-2.739,JP
BVAR,inflation_yoy,1,31,0.637,0.343,-1.121,JP
BVAR,inflation_yoy,4,31,1.242,0.705,-1.911,JP
BVAR,inflation_yoy,8,31,1.395,0.784,-2.039,JP
BVAR,reer_yoy,1,31,5.377,3.117,-3.121,JP
BVAR,reer_yoy,4,31,12.702,7.661,-4.443,JP
BVAR,reer_yoy,8,31,9.127,5.135,-3.64,JP
BVAR,y10,1,31,0.111,0.063,0.719,JP
BVAR,y10,4,31,0.297,0.173,-0.261,JP
BVAR,y10,8,31,0.483,0.286,-0.698,JP
BVAR,policy,1,31,0.024,0.016,2.006,JP
BVAR,policy,4,31,0.081,0.048,1.037,JP
BVAR,policy,8,31,0.136,0.082,0.565,JP
